time (s),bit3_2_sampled (V),bit2_2_sampled (V),bit1_2_sampled (V),bit0_2_sampled (V)
100.0E-9,900.0E-3,72.18E-6,900.0E-3,900.2E-3
100.5E-9,900.0E-3,27.76E-6,900.1E-3,900.0E-3
101.0E-9,899.9E-3,17.21E-6,900.0E-3,899.9E-3
101.5E-9,899.9E-3,131.4E-6,900.1E-3,899.9E-3
102.0E-9,900.0E-3,-77.96E-6,900.1E-3,95.72E-6
102.5E-9,900.1E-3,-108.8E-6,899.8E-3,-25.12E-6
103.0E-9,899.9E-3,-143.2E-6,-372.3E-6,900.2E-3
103.5E-9,900.0E-3,31.70E-6,-170.4E-6,900.0E-3
104.0E-9,900.2E-3,-143.2E-6,-247.8E-6,900.2E-3
104.5E-9,899.9E-3,8.321E-6,152.7E-6,900.1E-3
105.0E-9,899.9E-3,303.8E-6,-204.4E-6,-147.7E-6
105.5E-9,900.1E-3,-121.7E-6,-99.86E-6,-79.36E-6
106.0E-9,-10.90E-6,900.1E-3,900.0E-3,900.1E-3
106.5E-9,46.99E-6,900.0E-3,899.9E-3,899.9E-3
107.0E-9,174.3E-6,900.1E-3,900.0E-3,118.7E-6
107.5E-9,-52.41E-6,900.1E-3,899.9E-3,-74.71E-6
108.0E-9,19.29E-6,900.1E-3,-40.91E-6,900.1E-3
108.5E-9,-9.560E-6,900.0E-3,-233.3E-6,900.0E-3
109.0E-9,-118.1E-6,900.1E-3,251.1E-6,-139.1E-6
109.5E-9,28.24E-6,900.0E-3,-214.5E-6,-335.3E-6
110.0E-9,-136.2E-6,900.0E-3,73.99E-6,-196.9E-6
110.5E-9,45.08E-6,899.9E-3,-138.3E-6,16.26E-6
111.0E-9,-270.6E-6,900.1E-3,23.89E-6,-53.45E-6
111.5E-9,176.4E-6,899.9E-3,-17.30E-6,61.03E-6
112.0E-9,-48.16E-6,899.9E-3,-160.9E-6,-19.79E-6
112.5E-9,159.0E-6,899.9E-3,-21.91E-6,45.04E-6
113.0E-9,86.49E-6,899.9E-3,111.8E-6,-118.3E-6
113.5E-9,-62.35E-6,900.0E-3,-80.52E-6,-23.46E-6
114.0E-9,-55.19E-6,899.9E-3,-222.9E-6,899.9E-3
114.5E-9,-67.81E-6,900.0E-3,-217.6E-6,900.1E-3
115.0E-9,103.3E-6,899.9E-3,900.0E-3,9.475E-6
115.5E-9,-309.8E-6,900.1E-3,899.9E-3,-120.5E-6
116.0E-9,-236.8E-6,899.9E-3,900.0E-3,900.1E-3
116.5E-9,59.12E-6,899.9E-3,899.9E-3,900.0E-3
117.0E-9,-125.7E-6,900.0E-3,900.1E-3,900.1E-3
117.5E-9,-313.1E-6,899.8E-3,900.2E-3,899.9E-3
118.0E-9,900.1E-3,-91.03E-6,202.9E-6,-104.2E-6
118.5E-9,899.9E-3,28.27E-6,-200.9E-6,71.97E-6
119.0E-9,899.9E-3,116.3E-6,14.08E-6,900.1E-3
119.5E-9,900.0E-3,-93.42E-6,270.6E-6,900.0E-3
120.0E-9,899.9E-3,-301.8E-6,899.9E-3,-73.62E-6
120.5E-9,900.1E-3,9.948E-6,899.9E-3,-309.2E-6
121.0E-9,900.0E-3,67.20E-6,899.9E-3,900.1E-3
121.5E-9,900.1E-3,-110.4E-6,899.9E-3,899.9E-3
